FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
lor	lor	lor3	ILLE		DET		Poss,Masc,Sing,Nom
metés	metés	metre2	MITTERE		VERB		Fin,Imp,Pres,Act,Trans,2,Plur
jor	jor	jor	DIURNUM		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
terme	terme	terme	TERMINUS		NOUN		Masc,Sing,Acc
dou	dou	de	DE		ADP		PrepArt
rendre	rendre	rendre	REDDERE		VERB		Ind,Inf,Pres,Act,Trans
et	et	et	ET		CCONJ		
puis	puis	puis	POSTEA		ADV		Tim
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
en	en	en1	IN		ADP		
retornés	retornés	retorner	TORNARE		VERB	compTens	Ind,Part,Past,Sing,Masc,MWEs
.	.						
.	.						
coment	coment	coment	QUOMODO		ADV		Int
