FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
qit	qit	quitter	QUIETUS		VERB		Fin,Ind,Pres,Act,Trans,1,Sing
tos	tos1	tot	TOTUS		DET		Ind,Masc,Plur,Acc
tors	tors1	tort2	TORQUERE		NOUN		Masc,Plur,Acc
et	et	et	ET		CCONJ		
tos	tos8	tot	TOTUS		DET		Ind,Fem,Plur
les	les2	le	ILLE		DET		ArtDef,Fem,Plur
hontes	hontes	honte	*HAUNIþA		NOUN		Fem,Plur
et	et	et	ET		CCONJ		
les	les	le	ILLE		DET		ArtDef,Masc,Plur
damajes	damajes	damage	DAMNUM		NOUN		Masc,Plur,Acc
q’	q’	queque	QUID		PRON		Rel,Acc
il	il1	il	ILLE		PRON		Prs,3,Masc,Plur,Nom
m’	m’	moi	ME		PRON		Prs,1,Sing,Acc
ont	ont1	avoir	HABERE		VERB	auxTens	Fin,Ind,Pres,3,Plur,MWEs
fet	fet7	faire	FACERE		VERB	compTens	Ind,Part,Past,Plur,Masc,MWEs
de	de	de	DE		ADP		
mon	mon1	mon1	MEUS		DET		Poss,Masc,Sing,Acc
pere	pere1	pere2	PATER		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
mere	mere	mere	MATER		NOUN		Fem,Sing
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
mes	mes1	mon1	MEUS		DET		Poss,Fem,Plur
suor	suor1	seror	SOROR		NOUN		Fem,Plur
hocire	hocire	ocire	OCCIDERE		VERB		Ind,Inf,Pres,Act,Trans
.	.						
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
gent	gent	gent2	GENITUS		ADJ		Fem,Sing
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
terre	terre	terre	TERRA		NOUN		Fem,Sing
q’	q’	queque	QUID		PRON		Rel,Acc
il	il1	il	ILLE		PRON		Prs,3,Masc,Plur,Nom
destruistrent	destruistrent	destruire	DESTRUERE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
.	.						
si	si	si	SIC		ADV		
lor	lor4	lor2	ILLE		PRON		Prs,3,Plur,Acc
metés	metés	metre2	MITTERE		VERB		Fin,Imp,Pres,Act,Trans,2,Plur
jor	jor	jor	DIURNUM		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
terme	terme	terme	TERMINUS		NOUN		Masc,Sing,Acc
dou	dou	de	DE		ADP		PrepArt
