eüst|eüst1|avoir|HABERE||VERB|auxTens|Fin,Sub,Imp,3,Sing,MWEs
fait|fait1|faire|FACERE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
fer|fer1|faire|FACERE||VERB||Ind,Inf,Pres,Act,Trans
grant|grant2|grant|GRANDIS||ADJ||Masc,Sing,Nom
grant|grant3|grant|GRANDIS||ADJ||Fem,Plur
grant|grant4|grant|GRANDIS||ADJ||Masc,Plur,Acc
vos|vos1|vos|VOS||PRON||Prs,2,Plur,Nom
scoile|scoile|escole1|SCHOLA||NOUN||Fem,Sing
se|se1|soi|SE||PRON||Prs,3,Plur,Acc
a|a|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
a|a1|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,3,Sing,MWEs
a|a2|avoir|HABERE||VERB||Fin,Ind,Pres,Intr,3,Sing
aasier|aasier|aaisier|ADJACENS||VERB||Ind,Inf,Pres,Act,Trans
abandona|abandona|abandoner|*BAN||VERB||Fin,Ind,Past,Act,Trans,3,Sing
abandonee|abandonee|abandoner|*BAN||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
abandonner|abandonner|abandoner|*BAN||VERB||Ind,Inf,Pres,Act,Trans
achater|achater|achater|*ACCAPTARE||VERB||Ind,Inf,Pres,Act,Trans
achever|achever|achever|CAPUT||VERB||Ind,Inf,Pres,Act,Trans
acier|acier|acier|ACIARIUM||NOUN||Masc,Sing,Acc
acoilli|acoilli|acoillir|*ACCOLLIGERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
acollee|acollee|acoler|COLLUM||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
aconplies|aconplies|acomplir|COMPLERE||VERB|compTens|Ind,Part,Past,Plur,Fem,MWEs
aconplir|aconplir|acomplir|COMPLERE||VERB||Ind,Inf,Pres,Act,Trans
aconplis|aconplis|acomplir|COMPLERE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
aconplis|aconplis1|acomplir|COMPLERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
aconta|aconta|aconter|COMPUTARE||VERB||Fin,Ind,Past,Rfl,3,Sing
acontast|acontast|aconter|COMPUTARE||VERB||Fin,Sub,Imp,Rfl,3,Sing
acontés|acontés|aconter|COMPUTARE||VERB||Fin,Ind,Pres,Rfl,2,Plur
acoula|acoula|acoler|COLLUM||VERB||Fin,Ind,Past,Act,Trans,3,Sing
acoullerent|acoullerent|acoler|COLLUM||VERB||Fin,Ind,Past,Rfl,3,Plur
acreïsiment|acreïsiment|acroissement|CRESCERE||NOUN||Masc,Sing,Acc
adoubés|adoubés|adober|DUBBAN||VERB||Ind,Part,Past,Sing,Masc
afi|afi|afier|*FIDARE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing
afier|afier|afier|*FIDARE||VERB||Ind,Inf,Pres,Act,Trans
